Go.	Йди.
Hi.	Вітаю!
Hi.	Привіт.
Hi.	Привіт!
Run!	Біжіть!
Run!	Тікайте!
Run!	Біжи!
Wow!	Оце так!
Wow!	Клас!
Wow!	Класно!
Wow!	Ого!
Wow!	Ух ти!
Fire!	Пожежа!
Help!	Допоможіть!
Jump!	Стрибайте.
Jump.	Стрибай.
Jump.	Стрибайте.
Stop!	Стій!
Wait!	Почекай!
Wait.	Зачекайте.
Begin.	Починай.
Begin.	Починайте.
Do it.	Зроби це.
Do it.	Робіть це.
Do it.	Роби це.
Do it.	Дій.
Do it.	Дійте.
Hello!	Вітаю!
Hello!	Ало!
Hello!	Добрий день.
Hello!	Привіт.
Hello!	Привіт!
Hello!	Вітаю.
Hello.	Ало!
Hello.	Привіт.
Hurry!	Поспішай!
Hurry!	Поквапся!
Hurry!	Покваптесь!
Hurry!	Поспішіть!
I ran.	Я побіг.
I ran.	Я біг.
I see.	Ясно.
I see.	Я розумію.
I try.	Я намагаюся.
I won.	Я виграв.
Oh no!	О ні!
Relax.	Облиш!
Shoot!	Стріляй!
Shoot!	Стріляйте!
Smile.	Посміхнися.
Attack!	В атаку!
Attack!	Атакуй!
Cheers!	Дякую!
Cheers!	Дякуємо!
Eat it.	З'їж це.
Eat it.	З'їж його.
Exhale.	Видихай.
Exhale.	Видихніть.
Get up.	Вставай.
Go now.	Йди зараз.
Go now.	Йди вже.
Got it!	Я зрозуміла.
Got it!	Зрозумів!
Got it!	Зрозуміло!
Got it!	Є!
Got it?	Зрозумів?
Got it?	Зрозуміла?
Got it?	Дійшло?
Got it?	Зрозуміло?
He ran.	Він побіг.
Hop in.	Застрибуй.
Hug me.	Обійми мене.
Hug me.	Пригорни мене.
Hug me.	Пригорніть мене.
I know.	Відома річ.
I know.	Звісно.
I know.	Я знаю.
I know.	Знаю.
I left.	Я пішов.
I lost.	Я програв.
I lost.	Я програла.
I paid.	Я заплатив.
I paid.	Я заплатила.
I quit.	Я звільняюся.
I spit.	Я плюнув.
I spit.	Я плюнула.
I swim.	Я пливу.
I swim.	Я плаваю.
I'm 19.	Мені 19 років.
I'm 19.	Мені дев'ятнадцять.
I'm 19.	Мені дев'ятнадцять років.
I'm OK.	Я в порядку.
I'm OK.	У мене все гаразд.
I'm up.	Я не сплю.
Inhale.	Вдихніть.
Listen.	Послухай.
Listen.	Послухай-но.
No way!	Неможливо!
No way!	Ні в якому разі!
No way!	В жодному разі!
No way!	Навіть мови немає.
No way!	Дзуськи!
No way!	Цього не може бути!
No way!	Не може бути!
Really?	Справді?
Really?	Серйозно?
Really?	Насправді?
Really?	Дійсно?
Thanks!	Дякую!
Thanks!	Спасибі!
Thanks!	Дякуємо!
Thanks!	Дякую.
Thanks.	Дякую!
Thanks.	Спасибі!
Thanks.	Дякую.
Thanks.	Дякуємо.
We hid.	Ми сховалися.
We hid.	Ми ховалися.
We hid.	Ми заховалися.
We try.	Ми намагаємося.
Why me?	А чого я?
Why me?	А чому я?
Ask Tom.	Запитайте Тома.
Ask Tom.	Запитай Тома.
Awesome!	Супер!
Awesome!	Чудово!
Awesome!	Фантастика!
Awesome!	Клас!
Awesome!	Класно!
Be calm.	Спокійно.
Be cool.	Зберігайте спокій.
Be cool.	Спокійно.
Be cool.	Зберігай спокій.
Be fair.	Будьте справедливі!
Be fair.	Будьте справедливі.
Be fair.	Будь справедливий.
Be kind.	Будь добрим.
Be kind.	Будь доброю.
Be nice.	Будь добрим.
Be nice.	Будь милим.
Beat it.	Іди геть.
Beat it.	Відвали.
Call me.	Зателефонуйте мені.
Call us.	Зателефонуй нам.
Call us.	Зателефонуйте нам.
Come in.	Заходьте.
Come on!	Давай!
Come on!	Гайда!
Come on!	Ну ж бо!
Come on!	Пiшли!
Come on.	Ну ж бо.
Drop it!	Облиш!
Drop it!	Кинь!
Get Tom.	Приведи Тома.
Get Tom.	Приведіть Тома.
Get out!	Йдіть звідси!
Get out.	Йди звідси.
Get out.	Йдіть звідси.
Get out.	Виходь.
Go away!	Іди геть!
Go away!	Геть!
Go away.	Йди геть.
Go away.	Відвали.
Go home.	Йдіть додому.
Go slow.	Йдіть повільно.
Go slow.	Йди повільно!
Goodbye!	Па-па!
Goodbye!	Бувай!
Goodbye!	До побачення!
Goodbye!	Побачимося!
Goodbye!	Бувай.
Goodbye.	Побачимося!
Hang on!	Почекай!
Hang on!	Почекайте!
Hang on!	Зачекайте!
Hang on!	Зачекай-но!
Hang on!	Зачекайте-но!
Hang on.	Почекай.
Hang on.	Зачекай.
Hang on.	Зачекайте.
He runs.	Він біжить.
He runs.	Він бігає.
Help me!	Допоможіть мені.
Help me!	Допоможи мені!
Help me!	Допоможіть мені!
Help me.	Допоможіть мені.
Help me.	Допоможи мені!
Help us.	Допоможіть нам!
Help us.	Допоможи нам.
Help us.	Допоможіть нам.
Hi, Tom.	Здоров був, Томе.
Hi, Tom.	Привіт, Томе.
Hi, Tom.	Вітаю, Томе.
Hit Tom.	Вдарь Тома.
Hold it!	Потерпи!
Hold on.	Не клади слухавку.
Hold on.	Почекай.
Hug Tom.	Обійми Тома.
Hug Tom.	Обійміть Тома.
Hug Tom.	Пригорни Тома.
Hug Tom.	Пригорніть Тома.
I agree.	Я згодна.
I agree.	Згода!
I agree.	Я згоден.
I agree.	Домовилися.
I bowed.	Я вклонився.
I bowed.	Я вклонилася.
I cried.	Я заплакав.
I cried.	Я заплакала.
I dozed.	Я задрімав.
I drive.	Я веду машину.
I drove.	Я вів машину.
I drove.	Я вела машину.
I moved.	Я переїхав.
I moved.	Я зрушив.
I smoke.	Я палю.
I smoke.	Я курю.
I snore.	Я хроплю.
I stink.	Я смерджу.
I stood.	Я встав.
I stood.	Я встала.
I swore.	Я поклявся.
I swore.	Я вилаявся.
I tried.	Я спробував.
I tried.	Я спробувала.
I waved.	Я махнув рукою.
I'm bad.	Мені погано.
I'm fat.	Я товстий.
I'm fat.	Я гладкий.
I'm fat.	Я гладка.
I'm fit.	Я в добрій спортивній формі.
I'm hit!	Мене вдарили!
I'm hit!	По мені влучили!
I'm hot.	Мені жарко.
I'm mad.	Я розлючений.
I'm new.	Я новенький.
I'm old.	Я стара.
I'm sad.	Я сумую.
I'm sad.	Мені сумно.
I'm sad.	Я відчуваю сум.
I'm shy.	Я сором'язливий.
I'm shy.	Я сором'язлива.
I'm wet.	Я мокрий.
It's OK.	Все гаразд.
It's OK.	Все в порядку.
It's OK.	Немає проблем.
It's OK.	Він в порядку.
It's OK.	Вона в порядку.
It's me.	Це я.
Join us.	Приєднуйтесь до нас.
Keep it.	Залиши це собі.
Keep it.	Залишіть це собі.
Kill it.	Вбий його!
